EJECUCIÓN PRESUPUESTAL A OCTUBRE DE 2016;;;;;
SECRETARÍA DE HACIENDA;;;;;
MUNICIPIO DE MEDELLÍN;;;;;
DEPENDENCIA;FONDO;PROYECTO;NOMBRE DEL PROYECTO;PRESUPUESTO DEFINITIVO;PRESUPUESTO EJECUTADO
Secretaría de Comunicaciones;110000116 ;150473 ; 16PP13-COMUNICACIONES PARA VÍ;10.000.000;10.000.000
Secretaría de Comunicaciones;110000116 ;150119 ; 16PP14-PERIÓDICO COMUNITARIO;60.000.000;57.799.687
Secretaría de Comunicaciones;110000116 ;150122 ; 16PP15-FORT PROCESOS DE COMUN;225.000.000;221.536.013
Secretaría de Comunicaciones;110000116 ;150167 ; 16PP50-FORT MEDIOS Y PROC COM;95.348.000;93.775.744
Secretaría de Comunicaciones;110000116 ;150168 ; 16PP60-APOYO Y FORT PROCESO C;70.000.000;65.894.355
Secretaría de Comunicaciones;110000116 ;150171 ; 16PP80-FORT MEDIOS Y PROC COM;142.898.800;140.909.669
Secretaría de Comunicaciones;110000116 ;150172 ; 16PP90-FORT PROCESOS COMUNICA;38.264.000;36.599.383
Secretaría de Comunicaciones;110000116 ;150169 ; 16PP70-ESCUELA CORREGIMENTAL ;40.000.000;40.000.000
Secretaría de Comunicaciones;110000116 ;120361 ; Comunicación organiz para la ;252.644.614;252.580.343
Secretaría de Comunicaciones;110000116 ;120362 ; Estrategias de comunic pol pa;9.218.545.451;9.218.545.451
Secretaría de Comunicaciones;110004010 ;080527 ; DISEÑO Y DESARROLLO DE POLÍTI;15.000.000;0
Secretaría de Comunicaciones;110070112 ;120362 ; Estrategias de comunic pol pa;15.344.601;15.344.601
Secretaría de Comunicaciones;110070113 ;120362 ; Estrategias de comunic pol pa;1.183.277.045;1.183.277.045
Secretaría de Comunicaciones;110070114 ;120362 ; Estrategias de comunic pol pa;2.612.089;2.612.089
Secretaría de Comunicaciones;110070115 ;120362 ; Estrategias de comunic pol pa;0;0
Secretaría de Comunicaciones;110070116 ;120362 ; Estrategias de comunic pol pa;40.000.000;40.000.000
Secretaría de Comunicaciones;110090115 ;120362 ; Estrategias de comunic pol pa;0;0
Secretaría de Comunicaciones;110090116 ;120362 ; Estrategias de comunic pol pa;5.641.846.682;5.585.846.682
Secretaría de Comunicaciones;160000115 ;120362 ; Estrategias de comunic pol pa;65.000.000;65.000.000
Secretaría de Evaluación y Control;110000116 ;160038 ; Índice de Transparencia Grand;2.000.000;0
Secretaría de Evaluación y Control;110000116 ;120192 ; Transparencia como garantía d;674.698.118;597.183.741
Secretaría de Evaluación y Control;160000115 ;120192 ; Transparencia como garantía d;25.696.445;25.696.445
Secretaría Hacienda;110000116 ;120115 ; Adquisición de Acciones Plaza;10.000.000.259;10.000.000.000
Secretaría Hacienda;110000116 ;040320 ; Acuerdo  Metro;46.549.934;0
Secretaría Hacienda;110000116 ;160037 ; Inversión Patrimonial Metropa;7.300.000.000;4.925.000.000
Secretaría Hacienda;110000116 ;120151 ; Generación Cultura Tributaria;133.335.772;130.000.000
Secretaría Hacienda;110000116 ;120055 ; Fortalecimiento Gestión Fisca;1.666.923.726;1.566.459.832
Secretaría Hacienda;110000116 ;120065 ; Modern sistemas recaudo y div;1.352.500.000;491.806.670
Secretaría Hacienda;110000116 ;120066 ; Organiz registro control docu;938.613.729;514.654.603
Secretaría Hacienda;110000116 ;120079 ; Fortalecimiento control Evasi;6.774.937.489;6.324.224.663
Secretaría Hacienda;110000116 ;120114 ; Sostenibilidad calidad inform;1.662.259.829;1.307.214.371
Secretaría Hacienda;110000116 ;120144 ; Administración Financiera exc;475.000.000;312.818.225
Secretaría Hacienda;110000116 ;120159 ; Soporte a aplicaciones q admi;465.500.000;350.881.889
Secretaría Hacienda;110000116 ;120160 ; Desarrollos-implementaciones ;1.330.000.000;941.479.490
Secretaría Hacienda;110000116 ;120195 ; Normalización Cartera Morosa ;4.895.350.000;4.848.172.046
Secretaría Hacienda;110000116 ;150059 ; Impl Normas Internacionales C;2.777.208.789;2.306.393.000
Secretaría Hacienda;110000116 ;130361 ; Aportes de Capital  ASOCAPITA;48.261.850;48.261.850
Secretaría Hacienda;110000116 ;140000 ; Capitalización Agen Cooper e ;3.000.000.000;3.000.000.000
Secretaría Hacienda;110000216 ;001806 ; Túnel de Occidente (Convenio);3.675.020.000;3.467.000.000
Secretaría Hacienda;110000216 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110002316 ;040320 ; Acuerdo  Metro;49.525.813.047;47.575.615.000
Secretaría Hacienda;110010215 ;130362 ; Transferencias Areas Metropol;2.818.338.126;2.818.338.126
Secretaría Hacienda;110010216 ;130362 ; Transferencias Areas Metropol;67.268.251.093;52.271.408.626
Secretaría Hacienda;110010515 ;150041 ; Inversión Transitoria de Obli;3.053.606.404;0
Secretaría Hacienda;110010516 ;150041 ; Inversión Transitoria de Obli;7.460.852.773;0
Secretaría Hacienda;110012015 ;150041 ; Inversión Transitoria de Obli;127.434.046;0
Secretaría Hacienda;110012016 ;150041 ; Inversión Transitoria de Obli;560.215.870;0
Secretaría Hacienda;110019416 ;150041 ; Inversión Transitoria de Obli;0;0
Secretaría Hacienda;110019516 ;150041 ; Inversión Transitoria de Obli;0;0
Secretaría Hacienda;110070112 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110070113 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110070114 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110070115 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110070115 ;150176 ; Fortal de la gestion impuesto;0;0
Secretaría Hacienda;110070116 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110070116 ;120055 ; Fortalecimiento Gestión Fisca;538.053.081;394.306.720
Secretaría Hacienda;110090112 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110090113 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110090114 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110090115 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110090116 ;100031 ; Capitalización corporación ru;8.200.000.000;8.200.000.000
Secretaría Hacienda;110090116 ;040320 ; Acuerdo  Metro;0;0
Secretaría Hacienda;110090116 ;120112 ; Aumento de Cobertura en la In;0;0
Secretaría Hacienda;110090116 ;010135 ; MUSEO DE ANTIOQUÍA (VIGENCIA ;554.719.828;533.610.361
Secretaría Hacienda;132000116 ;070002 ; Mejoramiento de Servicios BPP;315.805.768;315.805.768
Secretaría Hacienda;132000116 ;080316 ; Fortaleciimiento de la Memori;180.460.439;180.460.439
Secretaría Hacienda;133000116 ;150066 ; 16PP8-PREUNIVERSITARIOS;60.000.000;60.000.000
Secretaría Hacienda;133000116 ;150067 ; 16PP9-PREUNIVERSITARIOS Y PRE;100.000.000;100.000.000
Secretaría Hacienda;133000116 ;150317 ; 16PP1-CAMINO A LA EDUCACIÓN S;19.265.000;19.265.000
Secretaría Hacienda;133000116 ;150318 ; 16PP2-CAMINO A LA EDUCACIÓN S;31.890.300;31.890.300
Secretaría Hacienda;133000116 ;150319 ; 16PP3-CAMINO EDUCACIÓN SUPERI;388.066.707;388.066.707
Secretaría Hacienda;133000116 ;150320 ; 16PP4-ACCESO PERMANENC EDUCAC;509.777.026;509.777.026
Secretaría Hacienda;133000116 ;150321 ; 16PP5-CAMINO A LA EDUCACIÓN S;240.937.433;240.937.433
Secretaría Hacienda;133000116 ;150322 ; 16PP6-CAMINO A LA EDUCACIÓN S;223.000.000;223.000.000
Secretaría Hacienda;133000116 ;150323 ; 16PP7-CAMINO A LA EDUCACIÓN S;645.186.562;645.186.562
Secretaría Hacienda;133000116 ;150324 ; 16PP9-CAMINO A LA EDUCACIÓN S;395.338.707;395.338.707
Secretaría Hacienda;133000116 ;150325 ; 16PP11-CAMINO A LA EDUCACIÓN ;144.011.160;144.011.160
Secretaría Hacienda;133000116 ;150326 ; 16PP12-CAMINO A LA EDUCACIÓN ;100.000.000;100.000.000
Secretaría Hacienda;133000116 ;150359 ; 16PP13-CAMINO EDUCACIÓN SUPER;86.620.035;86.620.035
Secretaría Hacienda;133000116 ;150360 ; 16PP16-CAMINO A LA EDUCACIÓN ;203.607.650;203.607.650
Secretaría Hacienda;133000116 ;150361 ; 16PP60-CAMINO A LA EDUCACIÓN ;340.000.000;340.000.000
Secretaría Hacienda;133000116 ;150362 ; 16PP90-CAMINO HACIA LA EDUCAC;62.000.000;62.000.000
Secretaría Hacienda;133000116 ;120197 ; Cobertura Colegio Mayor;370.000.000;370.000.000
Secretaría Hacienda;133000116 ;120196 ; Acreditacion de calidad Coleg;1.733.750.000;1.733.750.000
Secretaría Hacienda;133070116 ;120197 ; Cobertura Colegio Mayor;2.385.000.000;2.385.000.000
Secretaría Hacienda;135000116 ;080329 ; Construccion de Escenarios De;6.300.000.000;6.300.000.000
Secretaría Hacienda;135000116 ;120332 ; Dllo del sistema mpal del dep;1.745.097.806;1.745.097.806
Secretaría Hacienda;135000116 ;150483 ; 16PP1-IMPL PLAN DLLO DEPORTI ;1.024.000.000;887.695.326
Secretaría Hacienda;135000116 ;150484 ; 16PP2-PROMOC DEPORTE RECREACI;1.101.250.000;954.339.106
Secretaría Hacienda;135000116 ;150433 ; 16PP3-AMPL COBERTURA PROGRAMA;916.000.000;794.671.717
Secretaría Hacienda;135000116 ;150434 ; 16PP4-PARTICIPACIÓN ACTIVIDAD;1.193.280.000;1.034.867.010
Secretaría Hacienda;135000116 ;150435 ; 16PP5-PROMOC DEPORTE RECREACI;793.119.531;687.763.985
Secretaría Hacienda;135000116 ;150436 ; 16PP6-AUMENTO OFERTA ACTIV FÍ;900.000.000;780.787.596
Secretaría Hacienda;135000116 ;150437 ; 16PP7-PROMOC DEPORTE RECREACI;1.364.573.950;1.182.038.689
Secretaría Hacienda;135000116 ;150438 ; 16PP8-PROMOC DEPORTE RECREACI;1.600.000.000;1.386.135.265
Secretaría Hacienda;135000116 ;150439 ; 16PP9-PROMOC DEPORTE RECREACI;921.000.000;798.836.954
Secretaría Hacienda;135000116 ;150440 ; 16PP10-FORTALEC PROCESOS DEPO;251.666.000;218.480.698
Secretaría Hacienda;135000116 ;150441 ; 16PP11-PROMOC DEPORTE RECREAC;536.907.848;465.618.051
Secretaría Hacienda;135000116 ;150442 ; 16PP12- FORTALEC DEPORTE RECR;710.000.000;615.566.556
Secretaría Hacienda;135000116 ;150443 ; 16PP13-FORMAC PARA LA VIDA A ;545.000.000;472.560.111
Secretaría Hacienda;135000116 ;150444 ; 16PP14-PROMOC DEPORTE RECREAC;682.000.000;591.963.550
Secretaría Hacienda;135000116 ;150445 ; 16PP15-PROMOC DEPORTE RECREAC;750.000.000;650.276.859
Secretaría Hacienda;135000116 ;150446 ; 16PP16-PROMOC DEPORTE RECREAC;718.630.878;622.508.616
Secretaría Hacienda;135000116 ;150447 ; 16PP60-PROM DEPORTE RECREAC A;600.000.000;519.766.121
Secretaría Hacienda;135000116 ;150448 ; 16PP70-FOMENTO DE HÁBITOS DE ;400.450.001;347.603.025
Secretaría Hacienda;135000116 ;150449 ; 16PP80-PROMOC DEPORTE RECREAC;800.000.000;693.317.634
Secretaría Hacienda;135000116 ;150450 ; 16PP90-INTEGRACIÓN RECREATIVA;219.000.000;189.324.044
Secretaría Hacienda;135000116 ;120325 ; Esc popul dporte: form depor ;5.302.523.523;4.245.290.913
Secretaría Hacienda;135000116 ;120198 ; Promoción y apoyo al deporte ;199.900.052;199.900.052
Secretaría Hacienda;135000116 ;120199 ; Promoción y apoyo al deporte ;1.541.177.427;1.541.177.427
Secretaría Hacienda;135000116 ;120200 ; Promoción y apoyo al deporte ;2.735.755.816;2.735.755.816
Secretaría Hacienda;135000116 ;120203 ; Adrenalina;182.024.882;182.024.882
Secretaría Hacienda;135000116 ;120326 ; Atenc a pobl sit discap mpio ;1.278.976.827;1.278.976.827
Secretaría Hacienda;135000116 ;120327 ; Fortalecimiento de la activid;3.407.572.897;2.652.121.169
Secretaría Hacienda;135000116 ;120328 ; Ciclovías recreativas institu;1.028.474.310;1.028.474.310
Secretaría Hacienda;135000116 ;120329 ; Centro lúdico-para el mpio de;2.320.866.023;1.588.519.615
Secretaría Hacienda;135000116 ;120330 ; Int dep recr  pob calle, - mi;379.220.862;379.220.862
Secretaría Hacienda;135000116 ;120331 ; Prom recr públ comun en el mp;4.328.914.442;4.328.914.442
Secretaría Hacienda;135000212 ;080329 ; Construccion de Escenarios De;39.001.429;39.001.429
Secretaría Hacienda;135000213 ;080329 ; Construccion de Escenarios De;42.881.103;42.881.103
Secretaría Hacienda;135000216 ;080329 ; Construccion de Escenarios De;4.444.598.696;4.444.598.696
Secretaría Hacienda;135000216 ;150482 ; Adecuación y mantenimiento de;4.831.503.351;3.633.822.786
Secretaría Hacienda;135008816 ;080329 ; Construccion de Escenarios De;4.523.953.989;2.056.342.725
Secretaría Hacienda;135013515 ;080329 ; Construccion de Escenarios De;13.564.687;13.564.687
Secretaría Hacienda;135013516 ;080329 ; Construccion de Escenarios De;13.848.655;8.513.552
Secretaría Hacienda;135070116 ;120325 ; Esc popul dporte: form depor ;7.562.479.486;7.562.479.486
Secretaría Hacienda;135070116 ;120201 ; UVA-Unidades de Vida Articula;0;0
Secretaría Hacienda;135070116 ;120327 ; Fortalecimiento de la activid;188.104.787;188.104.787
Secretaría Hacienda;135070116 ;120329 ; Centro lúdico-para el mpio de;5.449.786.025;5.449.786.025
Secretaría Hacienda;135070116 ;120331 ; Prom recr públ comun en el mp;120.000.000;120.000.000
Secretaría Hacienda;135070116 ;120367 ; Jornada E. complementaria dep;693.500.000;220.000.000
Secretaría Hacienda;135090116 ;080329 ; Construccion de Escenarios De;11.993.552.550;11.993.552.550
Secretaría Hacienda;135090116 ;120325 ; Esc popul dporte: form depor ;137.006.606;137.006.606
Secretaría Hacienda;135090116 ;120198 ; Promoción y apoyo al deporte ;923.037.715;876.762.271
Secretaría Hacienda;135090116 ;120199 ; Promoción y apoyo al deporte ;2.169.186.136;2.169.186.136
Secretaría Hacienda;135090116 ;120200 ; Promoción y apoyo al deporte ;3.312.002.070;3.312.002.070
Secretaría Hacienda;135090116 ;120203 ; Adrenalina;1.095.017.683;1.047.766.338
Secretaría Hacienda;135090116 ;120326 ; Atenc a pobl sit discap mpio ;1.067.829.106;1.044.788.062
Secretaría Hacienda;135090116 ;120327 ; Fortalecimiento de la activid;1.943.846.681;1.943.846.681
Secretaría Hacienda;135090116 ;120328 ; Ciclovías recreativas institu;2.208.301.062;2.027.786.484
Secretaría Hacienda;135090116 ;120330 ; Int dep recr  pob calle, - mi;656.296.710;616.339.570
Secretaría Hacienda;135090116 ;120331 ; Prom recr públ comun en el mp;1.773.505.198;1.547.973.892
Secretaría Hacienda;135098815 ;080329 ; Construccion de Escenarios De;411.965.523;411.965.523
Secretaría Hacienda;136000116 ;150430 ; 16PP5-FORMACIÓN PARA EL EMPLE;101.317.705;101.317.705
Secretaría Hacienda;136000116 ;080512 ; Adecuacion de Infraestructura;80.000.000;80.000.000
Secretaría Hacienda;136000116 ;080507 ; Dotación de talleres y Labora;190.000.000;190.000.000
Secretaría Hacienda;136000116 ;090002 ; Dotación de TIC para el ITM R;582.350.000;582.350.000
Secretaría Hacienda;136000116 ;110162 ; Adecuación Sistema de Laborat;598.500.000;598.500.000
Secretaría Hacienda;136000116 ;150417 ; 16PP1-CAMINO A LA EDUCACIÓN S;89.625.021;89.625.021
Secretaría Hacienda;136000116 ;150418 ; 16PP2-ACCESO EDUCACIÓN SUPERI;60.384.583;60.384.583
Secretaría Hacienda;136000116 ;150419 ; 16PP3-CAMINO EDUCACIÓN SUPERI;642.505.301;642.505.301
Secretaría Hacienda;136000116 ;150420 ; 16PP4-ACCESO PERMANENCIA EDUC;719.371.545;719.371.545
Secretaría Hacienda;136000116 ;150421 ; 16PP5-CAMINO A LA EDUCACIÓN S;272.733.169;272.733.169
Secretaría Hacienda;136000116 ;150422 ; 16PP6-CAMINO A LA EDUCACIÓN S;246.000.000;246.000.000
Secretaría Hacienda;136000116 ;150423 ; 16PP7-CAMINO A LA EDUCACIÓN S;779.462.849;779.462.849
Secretaría Hacienda;136000116 ;150424 ; 16PP9-CAMINO A LA EDUCACIÓN S;768.732.584;768.732.584
Secretaría Hacienda;136000116 ;150425 ; 16PP11-CAMINO A LA EDUCACIÓN ;90.801.843;90.801.843
Secretaría Hacienda;136000116 ;150426 ; 16PP12-CAMINO A LA EDUCACIÓN ;100.000.000;100.000.000
Secretaría Hacienda;136000116 ;150427 ; 16PP13-CAMINO A LA EDUCACIÓN ;454.418.747;454.418.747
Secretaría Hacienda;136000116 ;150428 ; 16PP16-CAMINO A LA EDUCACIÓN ;616.759.612;616.759.612
Secretaría Hacienda;136000116 ;150429 ; 16PP60-CAMINO A LA EDUCACIÓN ;240.000.000;240.000.000
Secretaría Hacienda;136000116 ;080508 ; Amp. y sos. cobertura educaci;1.600.000.000;1.600.000.000
Secretaría Hacienda;136019315 ;140085 ; MCV - Fortalec de infraestrsi;488.807;488.807
Secretaría Hacienda;136070116 ;080508 ; Amp. y sos. cobertura educaci;20.472.000.000;20.472.000.000
Secretaría Hacienda;137000116 ;120003 ; Construcción nueva sede de Te;2.000.000.000;1.900.000.000
Secretaría Hacienda;137000116 ;120365 ; Señal satelital de Telemedell;760.000.000;725.000.000
Secretaría Hacienda;137000116 ;120364 ; Fortalecimiento al canal loca;3.040.000.000;2.880.000.000
Secretaría Hacienda;141000116 ;150374 ; 16PP1-PREUNIVERSITARIOS JÓVEN;100.000.000;100.000.000
Secretaría Hacienda;141000116 ;150375 ; 16PP5-PREUNIVERSITARIOS JÓVEN;100.000.000;100.000.000
Secretaría Hacienda;141000116 ;150376 ; 16PP12-PREUNIVERSITARIOS;80.000.000;80.000.000
Secretaría Hacienda;141000116 ;120111 ; Infraestructura para la Insti;300.000.000;300.000.000
Secretaría Hacienda;141000116 ;130283 ; Creac. e Impl. de Esc. Dis. e;120.909.091;120.909.091
Secretaría Hacienda;141000116 ;150251 ; Ampliación, fortal. y sost. e;909.090.909;788.181.819
Secretaría Hacienda;141000116 ;150377 ; 16PP1-CAMINO A LA EDUCACIÓN S;21.862.000;21.862.000
Secretaría Hacienda;141000116 ;150378 ; 16PP3-CAMINO EDUCACIÓN SUPERI;272.783.992;272.783.992
Secretaría Hacienda;141000116 ;150379 ; 16PP4-ACCESO PERMANENCIA EDUC;450.000.000;450.000.000
Secretaría Hacienda;141000116 ;150380 ; 16PP5-CAMINO A LA EDUCACIÓN S;236.329.398;236.329.398
Secretaría Hacienda;141000116 ;150381 ; 16PP6-CONTINUIDAD PROGRAMAS E;351.000.000;351.000.000
Secretaría Hacienda;141000116 ;150367 ; 16PP7-CAMINO EDUCACIÓN SUPERI;665.314.592;665.314.592
Secretaría Hacienda;141000116 ;150368 ; 16PP9-CAMINO EDUCACIÓN SUPERI;491.398.260;491.398.260
Secretaría Hacienda;141000116 ;150369 ; 16PP11-CAMINO A LA EDUCACIÓN ;25.186.997;25.186.997
Secretaría Hacienda;141000116 ;150370 ; 16PP12-CAMINO A LA EDUCACIÓN ;100.000.000;100.000.000
Secretaría Hacienda;141000116 ;150371 ; 16PP13-CAMINO EDUCACIÓN SUPER;179.961.218;179.961.218
Secretaría Hacienda;141000116 ;150373 ; 16PP16-CAMINO EDUCACIÓN SUPER;272.694.538;272.694.538
Secretaría Hacienda;141000116 ;150372 ; 16PP60-CAMINO EDUCACIÓN SUPER;270.000.000;270.000.000
Secretaría Hacienda;141000116 ;120112 ; Aumento de Cobertura en la In;430.000.000;430.000.000
Secretaría Hacienda;141070116 ;120112 ; Aumento de Cobertura en la In;2.247.500.000;2.043.181.810
Secretaría Hacienda;141070116 ;130344 ; Internac. de la Educ. Supe. e;47.500.000;43.181.820
Secretaría Hacienda;141070116 ;130418 ; Desarrollo y Mejoramiento Cul;475.000.000;431.818.180
Secretaría Hacienda;141090116 ;120112 ; Aumento de Cobertura en la In;356.882.625;356.882.625
Secretaría Hacienda;142000116 ;110010 ; Estudios y Diseños para proye;90.230.219;90.230.219
Secretaría Hacienda;144000116 ;120110 ; Fortalecimiento al Sistema Ha;800.364.480;800.364.480
Secretaría Hacienda;144000116 ;150383 ; 16PP2-MEJORAMIENTO DE VIVIEND;400.000.000;400.000.000
Secretaría Hacienda;144000116 ;150384 ; 16PP4-MEJORAMIENTO DE VIVIEND;1.163.000.000;1.163.000.000
Secretaría Hacienda;144000116 ;150385 ; 16PP8-MEJORAMIENTO DE VIVIEND;1.103.000.000;1.103.000.000
Secretaría Hacienda;144000116 ;150386 ; 16PP80-MEJORAMIENTO VIVIENDA ;520.000.000;520.000.000
Secretaría Hacienda;144000116 ;150387 ; 16PP90-MEJORAMIENTO DE VIVIEN;300.000.000;300.000.000
Secretaría Hacienda;144000116 ;120108 ; Asigna subsidio arrendamiento;4.624.899.219;4.624.899.219
Secretaría Hacienda;144070116 ;120104 ; Mejora.-legalizacion vivienda;360.000.000;360.000.000
Secretaría Hacienda;144070116 ;120106 ; Asigna subsidio y promo adqui;25.000.000.000;25.000.000.000
Secretaría Hacienda;144070116 ;120109 ; Acompañamiento social hogares;2.328.498.374;2.328.498.374
Secretaría Hacienda;144090116 ;120103 ; Asigna subsidios población de;236.034.892;236.034.892
Secretaría Hacienda;144090116 ;120108 ; Asigna subsidio arrendamiento;11.891.951.691;11.891.951.691
Secretaría Hacienda;144090116 ;120104 ; Mejora.-legalizacion vivienda;5.144.361.904;5.144.361.904
Secretaría Hacienda;144090116 ;120107 ; Asignación de subsidios vivie;1.127.506.107;1.127.506.107
Secretaría Hacienda;145000116 ;130420 ; Sede Agencia de Educ.Superior;360.920.877;360.920.877
Secretaría Hacienda;145000116 ;150453 ; 16PP1-PROMOCIÓN APOYO ESTUDIA;500.000.000;500.000.000
Secretaría Hacienda;145000116 ;150454 ; 16PP2-PROMOCIÓN APOYO ESTUDIA;944.000.000;944.000.000
Secretaría Hacienda;145000116 ;150455 ; 16PP3-FONDO CAMINO A LA EDUCA;580.000.000;580.000.000
Secretaría Hacienda;145000116 ;150456 ; 16PP4-FONDO CAMINO A LA EDUCA;60.000.000;60.000.000
Secretaría Hacienda;145000116 ;150457 ; 16PP5-PROMOCIÓN APOYO ESTUDIA;400.000.000;400.000.000
Secretaría Hacienda;145000116 ;150458 ; 16PP6-PROMOCIÓN APOYO ESTUDIA;580.000.000;580.000.000
Secretaría Hacienda;145000116 ;150459 ; 16PP7-PROMOCIÓN APOYO ESTUDIA;410.000.000;410.000.000
Secretaría Hacienda;145000116 ;150460 ; 16PP8-PROMOCIÓN APOYO ESTUDIA;810.000.000;810.000.000
Secretaría Hacienda;145000116 ;150461 ; 16PP10-PROMOCIÓN APOYO ESTUDI;400.000.000;400.000.000
Secretaría Hacienda;145000116 ;150462 ; 16PP11-PROMOCIÓN APOYO ESTUDI;350.000.000;350.000.000
Secretaría Hacienda;145000116 ;150463 ; 16PP12-PROMOCIÓN APOYO ESTUDI;750.000.000;750.000.000
Secretaría Hacienda;145000116 ;150464 ; 16PP13-CAMINO A LA EDUCACIÓN ;400.000.000;400.000.000
Secretaría Hacienda;145000116 ;150465 ; 16PP14-CAMINO EDUCACIÓN SUPER;1.000.000.000;1.000.000.000
Secretaría Hacienda;145000116 ;150466 ; 16PP15-PROMOCIÓN APOYO ESTUDI;540.000.000;540.000.000
Secretaría Hacienda;145000116 ;150467 ; 16PP16-PROMOCIÓN APOYO ESTUDI;416.000.000;416.000.000
Secretaría Hacienda;145000116 ;150468 ; 16PP50-PROMOCIÓN APOYO ESTUDI;450.000.000;450.000.000
Secretaría Hacienda;145000116 ;150469 ; 16PP60-PROMOCIÓN APOYO ESTUDI;250.000.000;250.000.000
Secretaría Hacienda;145000116 ;150470 ; 16PP70-PROMOCIÓN APOYO ESTUDI;666.647.360;666.647.360
Secretaría Hacienda;145000116 ;150471 ; 16PP80-PROMOCIÓN APOYO ESTUDI;359.375.500;359.375.500
Secretaría Hacienda;145000116 ;150472 ; 16PP90-PROMOCIÓN APOYO ESTUDI;468.000.000;468.000.000
Secretaría Hacienda;145000116 ;120355 ; Sinergia- Proyecto de Integra;112.000.000;112.000.000
Secretaría Hacienda;145000116 ;070024 ; Financ de la educac superior ;3.854.082.683;3.854.082.683
Secretaría Hacienda;145000116 ;080429 ; MAESTRIAS Y DOCTORADOS COFINA;100.000.000;100.000.000
Secretaría Hacienda;145070116 ;130618 ; Buen Tránsito a la Educación ;315.805.768;315.805.768
Secretaría Hacienda;145070116 ;140390 ; EXTENDIENDO FRONTERAS EDUCATI;451.151.096;451.151.096
Secretaría Hacienda;145070116 ;120355 ; Sinergia- Proyecto de Integra;1.755.755.483;1.755.755.483
Secretaría Hacienda;145070116 ;070024 ; Financ de la educac superior ;33.140.307.248;32.140.307.248
Secretaría Hacienda;145070116 ;080429 ; MAESTRIAS Y DOCTORADOS COFINA;1.490.333.090;1.490.333.090
Secretaría Hacienda;145090116 ;080100 ; PREMIO ALCALDIA MEDELLIN A IN;265.704.417;265.704.417
Secretaría Hacienda;145090116 ;140104 ; Programa de Formación Avanzad;275.249.958;275.249.958
Secretaría Hacienda;145090116 ;080077 ; PROMOCION  Y APOYO ECONO EST ;2.706.906.581;2.706.906.581
Secretaría Hacienda;147070116 ;150047 ; Fortalecimiento Museo Casa de;3.000.000.000;2.900.000.000
Secretaría Hacienda;148000116 ;130419 ; Estructuración de Proyectos A;1.425.000.000;1.425.000.000
